^fall17
F&W ECOL,401,45,3.238,24.4,22.2,26.7,13.3,6.7,0,0,0,0,0,0,0,2.2,2.2,2.2,0,
F&W ECOL,402,11,3.682,72.7,9.1,9.1,0,9.1,0,0,0,0,0,0,0,0,0,0,0,
F&W ECOL,415,17,3.333,35.3,17.6,17.6,5.9,11.8,0,0,0,0,0,0,0,11.8,0,0,0,
F&W ECOL,460,17,3.088,5.9,47.1,17.6,17.6,11.8,0,0,0,0,0,0,0,0,0,0,0,
F&W ECOL,548,61,2.908,19.7,18.0,23.0,13.1,19.7,3.3,1.6,0,0,0,0,0,1.6,0,0,0,
F&W ECOL,550,34,3.588,55.9,23.5,5.9,11.8,2.9,0,0,0,0,0,0,0,0,0,0,0,
F&W ECOL,551,9,4.000,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
F&W ECOL,561,29,3.483,34.5,48.3,13.8,0,0,0,3.4,0,0,0,0,0,0,0,0,0,
F&W ECOL,571,10,3.500,40.0,20.0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,
F&W ECOL,577,16,3.469,37.5,25.0,31.3,6.3,0,0,0,0,0,0,0,0,0,0,0,0,
F&W ECOL,590,16,3.733,68.8,0,25.0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,
F&W ECOL,632,6,3.300,33.3,16.7,16.7,0,16.7,0,0,0,0,0,0,0,0,0,16.7,0,
F&W ECOL,660,27,3.667,48.1,40.7,7.4,3.7,0,0,0,0,0,0,0,0,0,0,0,0,
F&W ECOL,675,21,3.675,76.2,0,4.8,4.8,9.5,0,0,0,0,0,0,0,4.8,0,0,0,
F&W ECOL,699,10,3.864,90.0,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,
F&W ECOL,875,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.000,
F&W ECOL,953,6,0.0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,
F&W ECOL,990,56,0.0,0,0,0,0,0,0,0,39.3,0,0,0,60.7,0,0,0,0,
GENETICS,133,86,3.384,44.2,16.3,22.1,14.0,1.2,1.2,1.2,0,0,0,0,0,0,0,0,0,
GENETICS,155,60,3.875,95.0,1.7,0,0,0,1.7,1.7,0,0,0,0,0,0,0,0,0,
GENETICS,299,10,4.000,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GENETICS,466,265,3.074,30.6,9.1,30.9,9.4,16.2,3.4,0,0,0,0,0,0,0,0,0.4,0,
GENETICS,467,91,3.066,22.0,19.8,25.3,19.8,11.0,2.2,0,0,0,0,0,0,0,0,0,0,
GENETICS,470,8,3.500,37.5,37.5,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,
